generator1;generator2;generator3;generator4;5_6;5_8;5_9;6_7;7_8;external1;consumer1;8_9;consumer2;external2;convergence
169.0;460.0;400.0;163.0;-187.5749208746983;123.36324647509744;233.21167384579974;272.42507690646414;38.513113050535594;491.42158350388223;142.4903799238934;109.8484189647716;215.02794000624766;343.0600920365094;[ True]
169.0;440.0;340.0;190.0;-169.60518046969645;113.6889247666442;224.91625516010362;270.39481740354444;12.899267901718352;460.27016777544253;137.22538134295962;111.22733092791573;205.3608611816238;336.143585334798;[ True]
183.0;420.0;680.0;129.0;-198.3161252601745;116.52425411482132;264.7918704656201;221.68387227345048;93.15648405913187;654.4835514571756;154.04383607432655;148.2675999613979;190.4131375481765;413.05946949819054;[ True]
173.0;460.0;580.0;102.0;-212.9384413983022;137.94114469413137;247.99729611474768;247.0615562570697;103.81800464174559;571.9276243978612;151.3159266508783;110.0561598278832;233.70298896626846;358.05345512616884;[ True]
149.0;580.0;460.0;118.0;-253.3897368007589;154.87465535663625;247.5150809232254;326.6102607119266;81.65414119765511;514.4500550958832;190.506063990626;92.6404305387519;261.888365497165;340.15551067454953;[ True]
135.0;540.0;480.0;191.0;-236.86661411097302;133.04506651445192;238.82154707702347;303.1333834750685;66.77831602716613;517.1527940684808;199.2022729379333;105.77645816344587;285.046923828044;344.5980044483513;[ True]
171.0;580.0;600.0;171.0;-258.70131230717226;156.73920720388458;272.9621044930746;321.2986850072813;94.14181117491596;599.5497873172005;227.60708597353263;116.222920534782;305.6580972422281;389.18502413457435;[ True]
181.0;480.0;560.0;112.0;-218.03491226386555;163.50998761561718;235.524924123724;261.96508553197947;119.57981074844193;499.1345138452375;203.25076046429302;72.01491231516043;323.07488563174337;307.53983572764486;[ True]
126.0;540.0;600.0;139.0;-259.12228411016997;152.28646724590732;232.83581638513598;280.87771352737417;130.53105866520252;524.4655438706761;225.8811105045573;80.5493453563455;341.2681801072561;313.3851610057426;[ True]
108.0;400.0;340.0;155.0;-173.32285113871652;122.12815680033592;159.1946940265046;226.67714728104116;68.77386361637474;302.10163608446413;195.8016473450177;37.06653368756313;308.8354864642965;196.26122725210598;[ True]
152.0;460.0;440.0;151.0;-197.89938316669446;147.47021984967017;202.4291628900317;262.10061489417217;83.26899056375487;395.61599410952766;223.2156298881161;54.958913308109366;326.78029675215686;257.38807560023133;[ True]
155.0;400.0;560.0;171.0;-185.93353573270505;142.44899855752018;198.48453673457593;214.0664624225038;114.3160930149436;424.8716452682135;234.8787237249481;56.035509158073474;371.72958208245797;254.52004530176305;[ True]
170.0;560.0;420.0;179.0;-230.90676959616212;159.1432017633917;241.76356731688188;329.09322804083365;60.95672025512987;467.9610358042325;220.17547161583;82.62036674637562;316.4795547837468;324.3839333167403;[ True]
174.0;560.0;300.0;162.0;-215.34929929909626;150.96028457894477;238.3890142056844;344.650698374397;21.65889489618101;434.90532992899483;188.0864732476484;87.42871204053354;247.19046691990917;325.817725503209;[ True]
153.0;460.0;660.0;184.0;-220.7599921120715;126.69006074451212;247.069930780788;239.24000549934556;108.21005134491648;596.0396965080291;194.99025704612308;120.37985998956593;298.5202515294328;367.4497899312551;[ True]
151.0;460.0;480.0;155.0;-204.1155413847779;140.90307565548372;214.21246525977944;255.88445655384535;89.1341814555999;449.96542511316034;196.78484958023148;73.30938136877033;311.72787532830415;287.5218459646516;[ True]
172.0;400.0;320.0;130.0;-152.88729570781587;153.5771162707133;171.31017908383532;247.11270275982702;59.35173170270596;266.12802817993304;241.6329426951193;17.733065154371175;325.19578260046836;189.04324379867802;[ True]
120.0;540.0;660.0;160.0;-260.90858959364766;137.9481790198406;242.96041005291275;279.0914079212349;119.76528282662672;572.7501795041129;246.575945048326;105.01222826124076;312.70123305368924;347.97263750505533;[ True]
159.0;480.0;680.0;125.0;-237.50242432524269;156.59805073737746;239.90437305408454;242.49757337310243;151.6029815703296;558.1199899458452;212.77460128949798;83.30633072538221;349.89470113992815;323.2107030274902;[ True]
106.0;440.0;440.0;155.0;-200.926619192331;110.25367977423822;196.67293899183326;239.07337881259176;72.10694433300299;441.6183880587354;165.3480460254267;86.41926379535656;250.94135986791161;283.09220213362664;[ True]
171.0;480.0;500.0;171.0;-207.76588667380562;144.68113171411082;234.0847544278352;272.23411110054724;80.21290467719656;493.1049146095174;198.9162913692442;89.403633234614;306.490402674237;323.48838692226;[ True]
116.0;540.0;580.0;143.0;-260.78854518207953;141.89599195502126;234.89255273706985;279.2114524055126;123.47311227448296;544.3587102688957;191.3796293536443;92.9965386126518;315.3725651281215;327.8890905829979;[ True]
163.0;520.0;360.0;184.0;-208.32045425086983;124.5902105449605;246.7302431336106;311.6795433327332;21.23110650593811;512.241363808902;138.20707260017335;122.14002765252263;207.68128878095814;368.8702699531377;[ True]
149.0;420.0;440.0;134.0;-180.74176993700743;111.99534055842159;217.74642885976746;239.25822797747074;53.478951463567974;482.7275156976104;143.05176037181926;105.75108183059095;193.72320967201102;323.4975099581021;[ True]
163.0;540.0;460.0;141.0;-230.41521143699947;127.73338061784992;265.68183019657715;309.5847859456161;48.56383663041772;590.1425164414296;130.87843235122162;137.94842421408345;179.3487923628791;403.63025349651883;[ True]
128.0;480.0;560.0;168.0;-225.21171264958824;97.81364124692;255.39807078282402;254.78828478628228;68.23709372850108;638.8040397654145;107.74715066867638;157.5844223494636;176.46631192049873;412.98249219744696;[ True]
136.0;540.0;440.0;159.0;-234.6875270971172;111.1178068991274;259.56971959305923;305.31247027280085;40.49283823422781;596.9663994503558;107.85323206060521;148.45190669270832;162.15873773912608;408.0216253611793;[ True]
173.0;480.0;320.0;185.0;-182.4510691613144;114.24061386147812;241.21045471745688;297.5489285268057;-0.8572718460199643;494.2928512818061;124.11334869062046;126.96983390265044;171.4135074837545;368.1802877966505;[ True]
185.0;560.0;540.0;117.0;-246.02278752013802;150.72585258841653;280.2969342795008;313.9772097674687;82.77141631303873;622.2104883488322;148.99530453312138;129.57105689445171;220.92621135967343;409.8679902409095;[ True]
100.0;520.0;300.0;146.0;-224.2443882856212;126.11897476409113;198.12541313456248;295.75560963259437;54.60779070337631;396.74596860791934;144.4018500286039;72.00639707741527;254.7203679678516;270.13180958126117;[ True]
194.0;580.0;600.0;160.0;-253.31204540982938;146.2724491005679;301.03959558998287;326.68795167439947;72.89656992521512;683.4704283840719;170.32095273012038;154.76714649989745;224.401871781913;455.80674105827484;[ True]
126.0;480.0;400.0;151.0;-209.3466524776672;130.26078011477898;205.0858719315741;270.65334546898623;68.95416071439863;423.6901418077471;178.00904259475945;74.82507714476914;275.3898632612585;279.91094842812817;[ True]
163.0;480.0;580.0;106.0;-226.19759033666816;149.35360431092917;239.8439854837603;253.80240736634545;121.74872029405466;542.5735956480488;169.4800908934204;90.49037816986412;286.6119459604785;330.3343628913832;[ True]
175.0;440.0;660.0;184.0;-206.29549036362823;127.72100263876688;253.5744871010729;233.7045072520438;100.31191275358002;605.5934253167802;187.799168565476;125.85350708348871;286.1794077182892;379.4279933245875;[ True]
162.0;460.0;340.0;190.0;-181.13729266804458;131.11539040191414;212.0219017894694;278.8627053102263;33.389998508553425;407.2248488639689;178.24785761867665;80.90648381831191;273.59890463677294;292.9283849420346;[ True]
184.0;560.0;300.0;193.0;-215.5644755749057;156.89831522190218;242.66615982545954;344.435522083413;28.027306414732763;442.22912524084785;174.17909011377395;85.76783003195537;292.1577910943616;328.43398910858895;[ True]
147.0;520.0;460.0;108.0;-230.2262615655139;146.57108448866038;230.6551765825934;289.7737361544825;87.02359103233862;485.84699544713334;176.90314925307422;84.08410066742456;257.5105743847902;314.73927652190184;[ True]
147.0;500.0;300.0;120.0;-201.56054675551133;139.30908003705082;209.2514662785461;298.4394511866667;42.430163663964755;391.5664607407512;164.44282649527202;69.94240956738089;231.79683370918576;279.19387520340183;[ True]
