0;1;2;3;4;5
-2.1;-1.5894736842105268;-1.7157894736842103;-1.5894736842105268;-1.4289473684210525;-2.0894736842105264
-2.0948717948717954;-1.6000000000000005;-1.6410256410256407;-1.6000000000000005;-1.4128205128205127;-2.082051282051282
-2.1025;-1.5750000000000004;-1.6075;-1.5750000000000004;-1.3799999999999997;-2.09
-2.112195121951219;-1.5731707317073174;-1.570731707317073;-1.5731707317073174;-1.2170731707317073;-2.0682926829268293
-2.0928571428571425;-1.547619047619048;-1.559523809523809;-1.547619047619048;-1.1547619047619047;-2.0595238095238093
-2.081395348837209;-1.5186046511627909;-1.5465116279069764;-1.5186046511627909;-1.1511627906976745;-2.044186046511628
-2.045454545454545;-1.470454545454546;-1.5386363636363634;-1.470454545454546;-1.0704545454545453;-2.022727272727273
-2.0222222222222217;-1.4533333333333338;-1.491111111111111;-1.4533333333333338;-1.0777777777777777;-2.011111111111111
-2.0173913043478255;-1.4347826086956526;-1.4913043478260868;-1.4347826086956526;-0.9630434782608696;-1.9978260869565219
-2.0085106382978717;-1.4234042553191493;-1.4191489361702125;-1.4234042553191493;-0.8808510638297872;-1.946808510638298
-2.035416666666667;-1.3729166666666668;-1.2000000000000004;-1.3729166666666668;-0.8833333333333334;-1.9416666666666667
-2.020408163265306;-1.3653061224489798;-1.1265306122448984;-1.3653061224489798;-0.8510204081632654;-1.926530612244898
-2.0180000000000002;-1.318;-1.1320000000000003;-1.318;-0.8180000000000001;-1.9160000000000001
-1.9823529411764707;-1.2862745098039217;-1.0274509803921572;-1.2862745098039217;-0.8294117647058824;-1.9058823529411768
-1.9673076923076924;-1.2326923076923078;-0.9538461538461542;-1.2326923076923078;-0.8096153846153846;-1.8769230769230774
-1.958490566037736;-1.1905660377358491;-0.9547169811320759;-1.1905660377358491;-0.760377358490566;-1.864150943396227
-1.8703703703703707;-1.090740740740741;-0.9555555555555559;-1.090740740740741;-0.7407407407407407;-1.8574074074074078
-1.8581818181818186;-1.0181818181818185;-0.943636363636364;-1.0181818181818185;-0.7418181818181818;-1.8472727272727276
-1.844642857142857;-1.017857142857143;-0.9535714285714288;-1.017857142857143;-0.6964285714285714;-1.8375000000000001
-1.8333333333333333;-0.9789473684210527;-0.9543859649122809;-0.9894736842105264;-0.7192982456140351;-1.8385964912280703
-1.8017241379310345;-0.9482758620689655;-0.9068965517241381;-0.9586206896551726;-0.6896551724137931;-1.817241379310345
-1.7915254237288136;-0.9559322033898305;-0.9152542372881357;-0.9661016949152543;-0.6372881355932203;-1.8118644067796612
-1.7850000000000001;-0.9366666666666666;-0.8950000000000001;-0.9466666666666668;-0.5966666666666665;-1.8050000000000002
-1.7655737704918033;-0.8918032786885245;-0.7803278688524594;-0.9016393442622951;-0.6114754098360654;-1.795081967213115
-1.7596774193548388;-0.8725806451612902;-0.7806451612903229;-0.8822580645161291;-0.625806451612903;-1.7887096774193552
-1.7460317460317463;-0.8714285714285713;-0.6761904761904767;-0.8809523809523809;-0.5603174603174602;-1.7587301587301591
-1.7031249999999998;-0.8296875000000001;-0.5968750000000007;-0.8484375;-0.5343749999999999;-1.7421875
-1.692307692307692;-0.8476923076923079;-0.5692307692307699;-0.8553846153846153;-0.5107692307692308;-1.7184615384615385
-1.6515151515151514;-0.8196969696969698;-0.5727272727272733;-0.853030303030303;-0.5030303030303029;-1.7166666666666666
-1.6223880597014924;-0.7716417910447761;-0.559701492537314;-0.8373134328358208;-0.48507462686567154;-1.7044776119402985
-1.5764705882352938;-0.7338235294117647;-0.5720588235294124;-0.8470588235294116;-0.4999999999999999;-1.701470588235294
-1.5405797101449272;-0.744927536231884;-0.5884057971014499;-0.8521739130434782;-0.5072463768115941;-1.6855072463768115
-1.4585714285714284;-0.7557142857142857;-0.5885714285714292;-0.8014285714285714;-0.5199999999999999;-1.6585714285714286
-1.3971830985915492;-0.6957746478873239;-0.5971830985915499;-0.7281690140845071;-0.4760563380281689;-1.6619718309859155
-1.3916666666666666;-0.6708333333333333;-0.5791666666666672;-0.7013888888888891;-0.486111111111111;-1.6527777777777777
-1.3643835616438356;-0.647945205479452;-0.5917808219178088;-0.7027397260273974;-0.4726027397260273;-1.6493150684931508
-1.335135135135135;-0.6391891891891891;-0.5972972972972979;-0.6891891891891894;-0.48378378378378367;-1.6256756756756758
-1.336;-0.6213333333333333;-0.6080000000000005;-0.6986666666666669;-0.37200000000000005;-1.5973333333333335
-1.3157894736842106;-0.6328947368421052;-0.565789473684211;-0.6907894736842107;-0.3789473684210527;-1.5473684210526317
